replicate,instance,group,result
2,1,1,0.519603002206917 
4,1,1,32.0975269119086 
2,2,1,0.590755136344182 
7,1,1,918.753701245615 
4,2,1,24.3511024264191 
2,3,1,1.99022887118801 
2,4,1,0.755213623691667 
4,3,1,33.8908339246644 
1,1,1,49508.56127662 
7,2,1,789.87476842513 
2,5,1,1.30935016829304 
5,1,1,79490.6725492876 
4,4,1,26.984113852495 
2,6,1,2.99349106794706 
2,7,1,0.000690860162741086 
6,1,1,348646.052065905 
4,5,1,31.8949155931937 
7,3,1,825.697762873635 
3,1,1,492300.448561325 
2,8,1,1.62720236560979 
4,6,1,23.1147303507461 
2,9,1,0.333669482151914 
1,2,1,40589.394946257 
7,4,1,730.146172756189 
2,10,1,1.67538331029312 
4,7,1,23.0736735600676 
5,2,1,94302.3699807122 
2,11,1,1.58611338359043 
4,8,1,20.6203020827327 
2,12,1,1.18632931756812 
7,5,1,894.262663267673 
4,9,1,35.0728302197537 
2,13,1,0.589193945166582 
1,3,1,61701.7470569565 
2,14,1,0.709764533411401 
6,2,1,428617.330220583 
4,10,1,22.5539300988639 
7,6,1,615.29452911691 
2,15,1,0.278684093083142 
5,3,1,89220.8322502677 
3,2,1,544030.353073026 
4,11,1,19.5327844198983 
2,16,1,1.26342958392799 
2,17,1,0.917664250015332 
7,7,1,717.786056423067 
4,12,1,22.7799724961963 
2,18,1,0.134289801316796 
1,4,1,55123.008793954 
4,13,1,24.3490676677856 
2,19,1,1.00941378425165 
7,8,1,838.090164404115 
2,20,1,0.334390501483469 
4,14,1,25.7116810381854 
5,4,1,89267.3321951503 
2,21,1,0.936515248008651 
6,3,1,404944.553110088 
4,15,1,19.0048305927106 
2,22,1,0.317807409995629 
7,9,1,980.385071179082 
2,23,1,1.50514808984763 
1,5,1,68598.9966888259 
4,16,1,28.8806683642494 
3,3,1,575256.017201438 
2,24,1,0.0206864615323204 
7,10,1,804.793919204162 
4,17,1,27.8944426211484 
2,25,1,0.716582416873402 
5,5,1,85172.2416217167 
4,18,1,22.8309589587788 
2,26,1,0.0773786019024017 
7,11,1,840.396818318058 
2,27,1,1.91989437185779 
4,19,1,23.9564915165825 
1,6,1,62826.5380975738 
2,28,1,0.702463298081104 
6,4,1,407069.704500726 
4,20,1,24.6703336972359 
2,29,1,1.50847204727723 
7,12,1,804.660106588442 
2,30,1,1.30225734497067 
4,21,1,28.4457563855852 
5,6,1,86065.10570693 
2,1,2,1.73087158979238 
3,4,1,455288.621730655 
4,22,1,31.2562976283577 
7,13,1,765.952985843318 
2,2,2,0.704978779545741 
1,7,1,60250.3817414338 
2,3,2,0.827171801642295 
4,23,1,35.850316759113 
2,4,2,1.27777026107775 
7,14,1,519.64037996395 
4,24,1,34.4281752942312 
2,5,2,1.42106902027382 
6,5,1,398568.911308218 
5,7,1,93741.4673808015 
4,25,1,24.0562672082599 
2,6,2,1.59970021955983 
7,15,1,871.969077868944 
1,8,1,67252.4458956515 
2,7,2,0.548690589574901 
4,26,1,23.7636866691571 
2,8,2,0.471623010024315 
4,27,1,17.8175495602105 
2,9,2,1.43420480671512 
3,5,1,496448.86776159 
7,16,1,841.786094811724 
2,10,2,1.23343042482513 
4,28,1,29.7120536446799 
5,8,1,91490.6107101458 
2,11,2,0.804396450378639 
1,9,1,54272.9614688267 
7,17,1,676.363676521515 
4,29,1,28.2931552350526 
2,12,2,0.505244215103491 
6,6,1,396955.690393562 
2,13,2,1.68328358384618 
4,30,1,26.4357756900895 
7,18,1,948.677542951713 
2,14,2,3.22065386457272 
4,1,2,24.3516755538202 
2,15,2,0.790301361907407 
5,9,1,99723.0415346566 
1,10,1,56528.6065576187 
4,2,2,21.6497036914748 
2,16,2,1.52151375188028 
7,19,1,907.332490866702 
3,6,1,504647.89410797 
2,17,2,0.727568576732129 
4,3,2,26.2394949290765 
2,18,2,1.08771145111775 
7,20,1,1007.89013116718 
4,4,2,25.1847154451591 
2,19,2,1.04422621921104 
6,7,1,402613.139814214 
2,20,2,0.188658262666836 
4,5,2,23.7100293244248 
1,11,1,59287.7347412056 
5,10,1,104171.380344752 
2,21,2,0.529064371673689 
7,21,1,620.639553934146 
4,6,2,28.3499114629927 
2,22,2,0.542135744011422 
2,23,2,4.9429330326272 
